Country,gii,giip,giirank,gini,q1,q5
Botswana,0.435,43.5,95,#N/A,#N/A,#N/A
Gabon,0.542,54.2,127,#N/A,#N/A,#N/A
Paraguay,0.464,46.4,104,50.84,3.78,55.37
Egypt,0.565,56.5,135,51.3,4.06,56.33
Indonesia,0.467,46.7,105,#N/A,#N/A,#N/A
Viet Nam,0.337,33.7,71,#N/A,#N/A,#N/A
Philippines,0.436,43.6,96,#N/A,#N/A,#N/A
El Salvador,0.384,38.4,85,42.04,5.55,48.17
Bolivia (Plurinational State of),0.446,44.6,98,#N/A,#N/A,#N/A
South Africa,0.394,39.4,90,65.43,1.93,70.07
Kyrgyzstan,0.394,39.4,90,#N/A,#N/A,#N/A
Iraq,0.525,52.5,123,#N/A,#N/A,#N/A
Morocco,0.494,49.4,113,#N/A,#N/A,#N/A
Nicaragua,0.462,46.2,103,46.15,4.95,52
Guatemala,0.494,49.4,113,50.36,4.4,54.6
Namibia,0.474,47.4,108,#N/A,#N/A,#N/A
Guyana,0.508,50.8,117,#N/A,#N/A,#N/A
Tajikistan,0.322,32.2,65,#N/A,#N/A,#N/A
Honduras,0.461,46.1,101,53.55,3.15,57.68
India,0.53,53,125,50.3,3.88,55.32
Bhutan,0.477,47.7,110,#N/A,#N/A,#N/A
Congo,0.592,59.2,141,#N/A,#N/A,#N/A
Lao People's Democratic Republic,0.468,46.8,106,#N/A,#N/A,#N/A
Bangladesh,0.52,52,119,#N/A,#N/A,#N/A
Ghana,0.547,54.7,131,#N/A,#N/A,#N/A
Zambia,0.526,52.6,124,#N/A,#N/A,#N/A
Sao Tome and Principe,0.524,52.4,122,#N/A,#N/A,#N/A
Cambodia,0.479,47.9,112,#N/A,#N/A,#N/A
Nepal,0.497,49.7,115,#N/A,#N/A,#N/A
Myanmar,0.374,37.4,80,#N/A,#N/A,#N/A
Kenya,0.565,56.5,135,#N/A,#N/A,#N/A
Pakistan,0.546,54.6,130,#N/A,#N/A,#N/A
Swaziland,0.566,56.6,137,#N/A,#N/A,#N/A
Syrian Arab Republic,0.554,55.4,133,#N/A,#N/A,#N/A
Tanzania (United Republic of),0.544,54.4,129,#N/A,#N/A,#N/A
Cameroon,0.568,56.8,138,#N/A,#N/A,#N/A
Papua New Guinea,0.595,59.5,143,#N/A,#N/A,#N/A
Zimbabwe,0.54,54,126,#N/A,#N/A,#N/A
Mauritania,0.626,62.6,147,#N/A,#N/A,#N/A
Rwanda,0.383,38.3,84,#N/A,#N/A,#N/A
Lesotho,0.549,54.9,132,#N/A,#N/A,#N/A
Senegal,0.521,52.1,120,#N/A,#N/A,#N/A
Haiti,0.593,59.3,142,#N/A,#N/A,#N/A
Uganda,0.522,52.2,121,#N/A,#N/A,#N/A
Sudan,0.575,57.5,140,#N/A,#N/A,#N/A
Togo,0.556,55.6,134,#N/A,#N/A,#N/A
Benin,0.613,61.3,144,#N/A,#N/A,#N/A
Yemen,0.767,76.7,159,#N/A,#N/A,#N/A
Afghanistan,0.667,66.7,154,#N/A,#N/A,#N/A
Malawi,0.614,61.4,145,#N/A,#N/A,#N/A
Cote d'Ivoire,0.672,67.2,155,#N/A,#N/A,#N/A
Gambia,0.641,64.1,148,#N/A,#N/A,#N/A
Ethiopia,0.499,49.9,116,#N/A,#N/A,#N/A
Mali,0.689,68.9,156,#N/A,#N/A,#N/A
Congo (Democratic Republic of the),0.663,66.3,153,#N/A,#N/A,#N/A
Liberia,0.649,64.9,150,#N/A,#N/A,#N/A
Sierra Leone,0.65,65,151,#N/A,#N/A,#N/A
Mozambique,0.574,57.4,139,#N/A,#N/A,#N/A
Burundi,0.474,47.4,108,#N/A,#N/A,#N/A
Burkina Faso,0.615,61.5,146,#N/A,#N/A,#N/A
Chad,0.695,69.5,157,#N/A,#N/A,#N/A
Niger,0.695,69.5,157,#N/A,#N/A,#N/A
Central African Republic,0.648,64.8,149,#N/A,#N/A,#N/A
