hdi_rank,country,gii_rep,gini,rank,mat_mort_ratio,mmr_calc,adol_birth_rate,parliament,PRf,PRm,seced_f,seced_m,Sef,Sem,labour_f,labour_m,female_index,male_index,harm,healthavg,empowermentavg,lfpravg,gfm,gii_calc,gii_rep2
145,Myanmar,0.374,#N/A,80,178,178,16.5,13,0.1300,0.8700,27.1,20,0.2710,0.2000,75.1,81.1,0.2019,0.6968,0.3130,0.5292,0.3024,0.7810,0.5000,0.3739,0.374
146,Kenya,0.565,#N/A,135,510,510,90.9,20.8,0.2080,0.7920,27.8,34.1,0.2780,0.3410,62.1,72.1,0.1299,0.7209,0.2202,0.5073,0.3801,0.6710,0.5058,0.5647,0.565
147,Pakistan,0.546,#N/A,130,178,178,38.7,20,0.2000,0.8000,26.5,46.1,0.2650,0.4610,24.3,82.2,0.1287,0.7933,0.2215,0.5191,0.4188,0.5325,0.4873,0.5456,0.546
148,Swaziland,0.566,#N/A,137,389,389,70.4,14.7,0.1470,0.8530,27.3,30.5,0.2730,0.3050,40,64.2,0.1153,0.6893,0.1975,0.5096,0.3552,0.5210,0.4552,0.5661,0.566
149,Syrian Arab Republic,0.554,#N/A,133,68,68,39.4,12.4,0.1240,0.8760,34.8,43.4,0.3480,0.4340,12.2,70.8,0.1157,0.7586,0.2008,0.5305,0.4122,0.4150,0.4494,0.5533,0.554
151,Tanzania (United Republic of),0.544,#N/A,129,398,398,118.6,36,0.3600,0.6400,10.1,15.3,0.1010,0.1530,74,83.3,0.1271,0.6388,0.2120,0.5073,0.2518,0.7865,0.4649,0.5439,0.544
153,Cameroon,0.568,#N/A,138,596,596,104.6,27.1,0.2710,0.7290,31.7,37.9,0.3170,0.3790,71,81.1,0.1381,0.7526,0.2334,0.5063,0.4094,0.7605,0.5402,0.5679,0.568
154,Papua New Guinea,0.595,#N/A,143,215,215,54.8,2.7,0.0270,0.9730,8.8,14.7,0.0880,0.1470,69.6,71,0.0996,0.6451,0.1726,0.5146,0.2135,0.7030,0.4258,0.5947,0.595
154,Zimbabwe,0.54,#N/A,126,443,443,109.7,35.1,0.3510,0.6490,51.9,64.7,0.5190,0.6470,77.8,87.3,0.1683,0.8270,0.2796,0.5072,0.5374,0.8255,0.6082,0.5403,0.54
157,Mauritania,0.626,#N/A,147,602,602,78.6,22.2,0.2220,0.7780,11.1,23.5,0.1110,0.2350,29.1,65.3,0.0872,0.6536,0.1539,0.5073,0.2923,0.4720,0.4121,0.6264,0.626
159,Rwanda,0.383,#N/A,84,290,290,26.3,57.5,0.5750,0.4250,10.5,16.4,0.1050,0.1640,86.4,83.2,0.1974,0.6034,0.2974,0.5181,0.2549,0.8480,0.4820,0.3829,0.383
160,Lesotho,0.549,#N/A,132,487,487,92.7,24.8,0.2480,0.7520,23.6,22.5,0.2360,0.2250,59.2,73.9,0.1287,0.6724,0.2160,0.5074,0.3266,0.6655,0.4796,0.5495,0.549
162,Senegal,0.521,#N/A,120,315,315,78.6,42.7,0.4270,0.5730,10.2,19.2,0.1020,0.1920,45,70.2,0.1236,0.6152,0.2058,0.5100,0.2702,0.5760,0.4298,0.5211,0.521
163,Haiti,0.593,#N/A,142,359,359,39.3,3.5,0.0350,0.9650,25.7,38.7,0.2570,0.3870,61.5,71.4,0.1158,0.7585,0.2009,0.5133,0.3530,0.6645,0.4938,0.5931,0.593
163,Uganda,0.522,#N/A,121,343,343,111.9,35,0.3500,0.6500,25.9,32.1,0.2590,0.3210,82.3,87.7,0.1587,0.7372,0.2612,0.5081,0.3789,0.8500,0.5470,0.5224,0.522
165,Sudan,0.575,#N/A,140,311,311,74,31,0.3100,0.6900,13.7,18.8,0.1370,0.1880,24.3,72.2,0.1014,0.6383,0.1751,0.5104,0.2831,0.4825,0.4116,0.5747,0.575
166,Togo,0.556,#N/A,134,368,368,92,17.6,0.1760,0.8240,23.1,36.1,0.2310,0.3610,81.1,80.6,0.1411,0.7604,0.2381,0.5086,0.3735,0.8085,0.5355,0.5555,0.556
167,Benin,0.613,#N/A,144,405,405,83.2,7.2,0.0720,0.9280,15.8,30.8,0.1580,0.3080,70,73.4,0.1088,0.7321,0.1894,0.5086,0.3206,0.7170,0.4890,0.6127,0.613
168,Yemen,0.767,#N/A,159,385,385,61.5,0.5,0.0050,0.9950,15.6,33.2,0.1560,0.3320,25.8,73.1,0.0529,0.7490,0.0988,0.5103,0.3013,0.4945,0.4237,0.7667,0.767
169,Afghanistan,0.667,#N/A,154,396,396,74,27.4,0.2740,0.7260,8.8,35.4,0.0880,0.3540,19.1,83.6,0.0818,0.7511,0.1476,0.5092,0.3311,0.5135,0.4424,0.6664,0.667
170,Malawi,0.614,#N/A,145,634,634,136.2,16.7,0.1670,0.8330,14.9,24.2,0.1490,0.2420,81.2,80.8,0.1113,0.7132,0.1925,0.5054,0.3034,0.8100,0.4989,0.6141,0.614
171,Côte d'Ivoire,0.672,#N/A,155,645,645,135.5,9.2,0.0920,0.9080,16.6,32.7,0.1660,0.3270,52.4,80.9,0.0885,0.7611,0.1585,0.5053,0.3342,0.6665,0.4829,0.6717,0.672
173,Gambia,0.641,#N/A,148,706,706,113,9.4,0.0940,0.9060,25.3,39.1,0.2530,0.3910,72.2,82.7,0.1076,0.7896,0.1894,0.5056,0.3747,0.7745,0.5274,0.6409,0.641
174,Ethiopia,0.499,#N/A,116,353,353,58.4,37.3,0.3730,0.6270,10.8,20.7,0.1080,0.2070,77,89.1,0.1504,0.6847,0.2467,0.5110,0.2805,0.8305,0.4919,0.4986,0.499
175,Mali,0.689,#N/A,156,587,587,174.6,8.8,0.0880,0.9120,7.3,16.2,0.0730,0.1620,50.1,82.3,0.0735,0.6814,0.1326,0.5049,0.2323,0.6620,0.4266,0.6891,0.689
176,Congo (Democratic Republic of the),0.663,#N/A,153,693,693,122.6,8.2,0.0820,0.9180,14.5,35,0.1450,0.3500,70.5,71.8,0.0941,0.7411,0.1670,0.5054,0.3379,0.7115,0.4953,0.6628,0.663
177,Liberia,0.649,#N/A,150,725,725,108.8,10.7,0.1070,0.8930,17.3,39.7,0.1730,0.3970,58,63.9,0.0961,0.7246,0.1698,0.5056,0.3657,0.6095,0.4830,0.6486,0.649
179,Sierra Leone,0.65,#N/A,151,"1,360",1000,118.2,12.4,0.1240,0.8760,16.8,29.7,0.1680,0.2970,65,68.6,0.0952,0.7047,0.1677,0.5046,0.3272,0.6680,0.4796,0.6502,0.65
181,Mozambique,0.574,#N/A,139,489,489,139.7,39.6,0.3960,0.6040,2.8,8,0.0280,0.0800,82.5,75.4,0.1017,0.5493,0.1716,0.5060,0.1626,0.7895,0.4020,0.5731,0.574
184,Burundi,0.474,#N/A,108,712,712,28.3,37.8,0.3780,0.6220,7.1,9.6,0.0710,0.0960,84.6,82.7,0.1456,0.5868,0.2333,0.5111,0.2041,0.8365,0.4436,0.4739,0.474
185,Burkina Faso,0.615,#N/A,146,371,371,108.5,9.4,0.0940,0.9060,6,11.5,0.0600,0.1150,76.6,90.7,0.0968,0.6640,0.1689,0.5079,0.1989,0.8365,0.4389,0.6150,0.615
186,Chad,0.695,#N/A,157,856,856,133.5,14.9,0.1490,0.8510,1.7,9.9,0.0170,0.0990,64,79.3,0.0670,0.6128,0.1209,0.5047,0.1703,0.7165,0.3949,0.6939,0.695
187,Niger,0.695,#N/A,157,553,553,202.4,13.3,0.1330,0.8670,3.6,8.4,0.0360,0.0840,40.2,89.4,0.0641,0.6225,0.1162,0.5047,0.1695,0.6480,0.3813,0.6953,0.695
188,Central African Republic,0.648,#N/A,149,882,882,91.9,12.5,0.1250,0.8750,12.3,29.8,0.1230,0.2980,71.7,84.6,0.0996,0.7560,0.1760,0.5056,0.3173,0.7815,0.5005,0.6484,0.648
